OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,DATIERUNG,DATIERUNG_N,k-means_PC1,k-means_PC2,k-means_UMAP1,k-means_UMAP2,k-means(FUNDE),dbscan_PC1,dbscan_PC2,dbscan_UMAP1,dbscan_UMAP2,dbscan(FUNDE),agnes_PC1,agnes_PC2,agnes_UMAP1,agnes_UMAP2,agnes(FUNDE),"k-means(BEZ_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDKATEGORIE_N)","k-means(BEZ_N, DATIERUNG_N)","dbscan(BEZ_N, DATIERUNG_N)","agnes(BEZ_N, DATIERUNG_N)"
4548323,POINT (16.373520827494705 48.209306863773314),1,0.0,Wollzeile,2,,2,0.25,pflasterung mauerwerk brunnen grube ofen pfostenloch,12,0.34375,0.1507157625013882,-0.0094525446719873,-0.8931969,-0.30458415,0,0.150715820886035,-0.0094527832033897,-3.1409721,9.844173,-1,0.1507159591146478,-0.0094528415804506,17.123037,5.610166,0,0,1,1,1,1,0
4548324,POINT (16.362295399950455 48.2124716752881),1,0.0,Mölker Bastei,8,,2,0.25,mauerwerk,11,0.3125,0.8011318815615338,-0.2084214997512493,-11.100896,21.611795,2,0.8011318718911935,-0.2084214774364369,-21.573814,16.192387,0,0.8011318575200804,-0.2084214833961833,-4.018018,22.374104,2,0,1,1,1,1,0
4548325,POINT (16.35483372098968 48.21584601687113),9,0.3636363636363636,Otto-Wagner-Platz,3,,2,0.25,mauerwerk grube brunnen straßeschotterung keramik,21,0.625,0.0840510518263595,-0.1470382146709092,-0.41584945,-0.6107493,0,0.0840511488667296,-0.1470385518732632,-3.140352,9.210242,-1,0.0840513059160824,-0.1470385845801561,16.76428,5.6383157,0,0,1,1,2,0,1
4548326,POINT (16.358680779881624 48.21341998390921),1,0.0,Reichsratsstraße,15,,2,0.25,mauerwerk keramik glas ofenkachel propagandaabzeichen militaria,21,0.625,0.0546915922053896,-0.0797246372821623,-33.15197,6.457739,0,0.0546916582573302,-0.0797246695650336,-15.892936,34.68966,-1,0.0546914788424666,-0.0797245613395315,47.489483,5.641045,0,0,1,1,2,0,1
4548327,POINT (16.368382101422174 48.20784444089206),1,0.0,Habsburgergasse,7,,2,0.25,mauerwerk planierung grube keramik glas tierknochen eisen buntmetall blei baumaterial kunststoff,12,0.34375,0.0287102125057277,-0.0528273303123088,-26.11585,10.899475,0,0.0287102134355234,-0.0528272187248241,-32.036335,31.097115,-1,0.0287100439386391,-0.052827109040693,47.13723,14.052215,0,0,1,1,1,1,0
4548328,POINT (16.352032212849085 48.199202900143234),7,0.2727272727272727,Mariahilfer Straße,50,56,2,0.25,grabverfüllung,21,0.625,-0.0029542814454166,0.0566438778578519,-22.451603,12.769811,0,-0.0029543092260149,0.0566439052898092,-31.60141,30.256292,-1,-0.0029542972973312,0.0566438569643506,47.82995,18.18984,0,0,1,1,2,0,1
4548329,POINT (16.366247564936252 48.213962555948115),1,0.0,Börseplatz,1,,2,0.25,mauerwerk kanal brunnen grube keramik,11,0.3125,0.1038504379303415,-0.1876849422147023,-0.37069538,0.10170503,0,0.103850562690972,-0.1876854441940699,-2.5000367,9.661843,0,0.1038507394791219,-0.1876854383128788,17.21646,4.9987607,0,0,1,1,1,1,0
4548330,POINT (16.411642961348026 48.17504924928881),11,0.4545454545454545,Enkplatz,4,,2,0.25,mauerwerk brunnen,21,0.625,0.3995405011422613,-0.079919713387961,-0.3092927,-0.75247097,2,0.3995406352921835,-0.0799202405652248,-3.2202523,9.155786,0,0.3995409530689249,-0.0799203447049634,16.602509,5.852504,0,1,1,1,0,0,1
4548331,POINT (16.35871298476618 48.181045186992435),5,0.1818181818181818,Matzleinsdorfer Platz,,,2,0.25,mauerwerk keramik glas,21,0.625,0.1543264728571133,-0.3214201262497097,-12.379514,1.4147234,2,0.154326709555496,-0.3214202646163702,-0.12483925,13.957468,0,0.1543262027461907,-0.3214198761303699,20.789925,-1.9125292,0,0,1,1,2,0,1
4548332,POINT (16.246842031490868 48.173793163675924),13,0.5454545454545455,Lainzer Tiergarten,,,1,0.0,hammersteine silices,32,0.96875,-0.0040254107238508,0.0568035073461294,-20.945044,12.595251,0,-0.0040254383017875,0.0568035419943079,-32.61652,30.136608,-1,-0.0040254284685875,0.0568034914736401,49.096733,18.375383,0,1,0,1,0,0,1
