OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4541162,POINT (16.359144971996567 48.214997687766925),9,0.3636363636363636,Alser Straße,,,3,0.5,342,0.4645776566757493,27,0.8125,2,-1,0,1,0,0,3,0,0
4541163,POINT (16.348805159597013 48.20359164699166),7,0.2727272727272727,Neubaugasse,59,,1,0.0,457,0.6212534059945504,22,0.65625,0,60,0,1,0,0,3,0,0
4541164,POINT (16.378848092936877 48.21188109669893),1,0.0,Schwedenbrücke,,,1,0.0,457,0.6212534059945504,27,0.8125,0,13,0,1,0,0,3,0,0
4541165,POINT (16.32082539787956 48.25223138564424),19,0.8181818181818182,Sieveringer Straße,,,1,0.0,422,0.5735694822888283,11,0.3125,1,10,1,2,2,1,1,0,1
4541166,POINT (16.345164495415364 48.202336625954395),7,0.2727272727272727,Zieglergasse,44,,1,0.0,248,0.3365122615803814,21,0.625,2,-1,0,1,0,0,3,0,0
4541166,POINT (16.345164495415364 48.202336625954395),7,0.2727272727272727,Zieglergasse,44,,1,0.0,22,0.0286103542234332,21,0.625,2,-1,0,1,0,0,3,0,0
4541168,POINT (16.336636038213474 48.21689169324863),17,0.7272727272727273,Hernalser Hauptstraße,37,,3,0.5,223,0.3024523160762942,27,0.8125,1,90,1,2,-1,2,1,0,1
4541168,POINT (16.336636038213474 48.21689169324863),17,0.7272727272727273,Hernalser Hauptstraße,37,,3,0.5,715,0.9727520435967304,27,0.8125,1,5,1,2,0,2,1,0,1
4541168,POINT (16.336636038213474 48.21689169324863),17,0.7272727272727273,Hernalser Hauptstraße,37,,3,0.5,626,0.8514986376021798,27,0.8125,1,-1,1,2,0,2,1,0,1
4541169,POINT (16.326399396541994 48.22178862086639),17,0.7272727272727273,Pezzlgasse,80,,1,0.0,457,0.6212534059945504,27,0.8125,1,72,1,2,0,2,1,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,422,0.5735694822888283,12,0.34375,0,13,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,125,0.1689373297002724,12,0.34375,2,3,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,430,0.5844686648501363,12,0.34375,0,13,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,319,0.433242506811989,12,0.34375,2,2,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,178,0.2411444141689373,12,0.34375,2,25,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,446,0.6062670299727521,12,0.34375,0,13,0,0,1,0,0,0,0
4541170,POINT (16.374279874575638 48.21189572541542),1,0.0,Ruprechtsplatz,4,5,2,0.25,692,0.94141689373297,12,0.34375,0,27,0,3,1,0,2,0,0
4541171,POINT (16.354209917738928 48.205286506959574),7,0.2727272727272727,Neustiftgasse,15,,1,0.0,457,0.6212534059945504,27,0.8125,0,60,0,1,0,0,3,0,0
4541172,POINT (16.357758595175486 48.19858072188435),6,0.2272727272727272,Gumpendorfer Straße,39,,2,0.25,426,0.5790190735694823,27,0.8125,0,103,0,1,0,0,3,0,0
4541173,POINT (16.34388019957107 48.19108689839241),6,0.2272727272727272,Sonnenuhrgasse,4,,3,0.5,620,0.8433242506811989,27,0.8125,0,-1,0,3,0,0,2,0,0
4541174,POINT (16.356800299576083 48.2053159279538),7,0.2727272727272727,Neustiftgasse,1,,1,0.0,319,0.433242506811989,33,1.0,2,59,0,1,0,0,3,0,0
4541175,POINT (16.354235619816073 48.209119773662216),8,0.3181818181818182,Josefstädter Straße,3,,1,0.0,457,0.6212534059945504,21,0.625,0,-1,0,1,0,0,3,0,0
4541176,POINT (16.35463383114411 48.23102229236529),9,0.3636363636363636,Nußdorfer Straße,90,,1,0.0,103,0.1389645776566757,32,0.96875,2,-1,0,1,0,0,3,0,0
4541177,POINT (16.36132877156972 48.257333127847126),19,0.8181818181818182,Hammerschmidtgasse,18,,3,0.5,223,0.3024523160762942,15,0.4375,1,9,1,2,3,1,1,0,1
4541177,POINT (16.36132877156972 48.257333127847126),19,0.8181818181818182,Hammerschmidtgasse,18,,3,0.5,319,0.433242506811989,15,0.4375,1,8,1,2,2,1,1,0,1
4541177,POINT (16.36132877156972 48.257333127847126),19,0.8181818181818182,Hammerschmidtgasse,18,,3,0.5,457,0.6212534059945504,15,0.4375,1,7,1,2,2,1,1,0,1
4541177,POINT (16.36132877156972 48.257333127847126),19,0.8181818181818182,Hammerschmidtgasse,18,,3,0.5,548,0.7452316076294278,15,0.4375,1,-1,1,2,-1,1,1,0,1
4541177,POINT (16.36132877156972 48.257333127847126),19,0.8181818181818182,Hammerschmidtgasse,18,,3,0.5,211,0.2861035422343324,15,0.4375,1,9,1,2,3,1,1,0,1
